,y
26,FALSE
29,FALSE
30,FALSE
33,FALSE
37,FALSE
38,FALSE
39,FALSE
40,TRUE
43,FALSE
45,TRUE
46,FALSE
47,TRUE
49,FALSE
51,FALSE
52,FALSE
54,FALSE
55,FALSE
60,TRUE
63,FALSE
65,FALSE
67,FALSE
68,FALSE
70,FALSE
73,FALSE
74,FALSE
75,TRUE
76,TRUE
77,TRUE
78,FALSE
79,TRUE
82,FALSE
85,FALSE
88,FALSE
89,TRUE
90,FALSE
92,TRUE
95,TRUE
100,FALSE
101,FALSE
102,TRUE
103,FALSE
105,TRUE
107,FALSE
109,TRUE
110,TRUE
113,FALSE
115,FALSE
117,FALSE
123,FALSE
124,FALSE
125,TRUE
126,FALSE
128,FALSE
133,FALSE
134,FALSE
136,TRUE
138,FALSE
143,TRUE
144,FALSE
145,TRUE
148,TRUE
150,TRUE
153,FALSE
158,FALSE
159,FALSE
161,TRUE
163,FALSE
168,TRUE
172,FALSE
176,TRUE
178,TRUE
179,FALSE
186,TRUE
187,TRUE
192,FALSE
196,FALSE
200,FALSE
203,TRUE
206,FALSE
210,TRUE
213,TRUE
214,FALSE
223,TRUE
238,FALSE
268,TRUE
269,FALSE
271,TRUE
276,FALSE
277,TRUE
283,FALSE
289,TRUE
292,TRUE
297,FALSE
298,FALSE
299,TRUE
300,FALSE
301,TRUE
303,FALSE
304,FALSE
306,FALSE
307,TRUE
308,FALSE
311,TRUE
312,FALSE
313,FALSE
314,FALSE
316,FALSE
318,FALSE
319,FALSE
324,TRUE
328,TRUE
333,FALSE
342,FALSE
343,TRUE
345,FALSE
357,TRUE
359,TRUE
360,FALSE
361,TRUE
365,TRUE
369,TRUE
374,FALSE
375,TRUE
379,FALSE
385,TRUE
388,TRUE
389,TRUE
390,TRUE
394,TRUE
395,TRUE
396,FALSE
398,FALSE
399,FALSE
407,TRUE
408,FALSE
410,TRUE
415,FALSE
420,FALSE
425,FALSE
427,TRUE
434,TRUE
439,FALSE
440,TRUE
443,TRUE
444,TRUE
447,FALSE
448,FALSE
449,TRUE
450,TRUE
451,TRUE
452,TRUE
454,FALSE
458,TRUE
459,FALSE
465,TRUE
471,FALSE
475,TRUE
476,FALSE
482,FALSE
483,TRUE
486,TRUE
487,TRUE
489,TRUE
491,TRUE
498,FALSE
500,TRUE
525,FALSE
526,TRUE
529,FALSE
530,TRUE
533,TRUE
534,FALSE
535,FALSE
539,TRUE
540,TRUE
547,FALSE
549,TRUE
553,FALSE
557,FALSE
559,FALSE
560,TRUE
568,FALSE
572,FALSE
576,TRUE
579,FALSE
583,FALSE
584,FALSE
590,FALSE
595,FALSE
596,FALSE
599,TRUE
600,FALSE
601,FALSE
603,FALSE
604,TRUE
605,FALSE
611,TRUE
613,TRUE
614,FALSE
618,FALSE
619,FALSE
622,TRUE
623,TRUE
627,TRUE
628,TRUE
630,TRUE
631,TRUE
632,FALSE
633,FALSE
638,TRUE
640,TRUE
642,FALSE
643,TRUE
644,FALSE
645,TRUE
647,FALSE
649,FALSE
653,FALSE
654,TRUE
659,TRUE
660,TRUE
661,TRUE
662,TRUE
668,TRUE
673,FALSE
678,FALSE
680,TRUE
685,TRUE
687,FALSE
688,FALSE
690,FALSE
693,TRUE
694,FALSE
695,FALSE
696,FALSE
698,TRUE
699,FALSE
700,FALSE
705,FALSE
710,TRUE
711,FALSE
713,TRUE
716,TRUE
720,TRUE
726,TRUE
727,TRUE
728,TRUE
731,TRUE
742,TRUE
747,TRUE
751,TRUE
796,FALSE
797,TRUE
798,FALSE
799,FALSE
800,FALSE
801,TRUE
806,TRUE
807,FALSE
808,FALSE
810,FALSE
812,TRUE
818,TRUE
820,FALSE
822,FALSE
825,TRUE
832,FALSE
835,FALSE
836,FALSE
837,FALSE
838,FALSE
842,FALSE
843,FALSE
844,FALSE
845,FALSE
850,FALSE
851,TRUE
854,TRUE
857,FALSE
859,FALSE
860,FALSE
865,FALSE
866,TRUE
871,FALSE
880,FALSE
882,FALSE
887,TRUE
889,FALSE
890,FALSE
892,TRUE
895,TRUE
898,TRUE
899,TRUE
900,FALSE
901,TRUE
902,TRUE
904,TRUE
906,TRUE
911,TRUE
912,FALSE
913,FALSE
914,TRUE
915,FALSE
920,TRUE
921,TRUE
923,FALSE
924,TRUE
927,FALSE
928,FALSE
931,TRUE
932,FALSE
934,TRUE
936,TRUE
937,TRUE
940,FALSE
945,TRUE
948,FALSE
955,FALSE
959,TRUE
960,TRUE
964,TRUE
965,FALSE
970,TRUE
975,TRUE
977,FALSE
983,TRUE
995,TRUE
1005,TRUE
