,y
26,TRUE
29,TRUE
30,TRUE
33,TRUE
37,FALSE
38,FALSE
39,FALSE
43,FALSE
46,FALSE
49,TRUE
51,TRUE
52,FALSE
54,TRUE
55,TRUE
63,TRUE
65,FALSE
67,FALSE
68,TRUE
70,TRUE
73,TRUE
74,FALSE
78,TRUE
82,TRUE
85,TRUE
88,TRUE
90,TRUE
100,TRUE
101,TRUE
103,FALSE
107,TRUE
113,TRUE
115,TRUE
117,TRUE
123,TRUE
124,TRUE
126,TRUE
128,TRUE
133,TRUE
134,TRUE
138,FALSE
144,TRUE
153,TRUE
158,TRUE
159,TRUE
163,TRUE
172,TRUE
179,TRUE
192,TRUE
196,TRUE
200,FALSE
206,TRUE
214,FALSE
238,FALSE
269,TRUE
276,TRUE
283,TRUE
297,TRUE
298,FALSE
300,FALSE
303,FALSE
304,TRUE
306,TRUE
308,FALSE
312,FALSE
313,TRUE
314,TRUE
316,TRUE
318,TRUE
319,FALSE
333,FALSE
342,FALSE
345,TRUE
360,FALSE
374,FALSE
379,TRUE
396,FALSE
398,FALSE
399,TRUE
408,FALSE
415,TRUE
420,TRUE
425,TRUE
439,FALSE
447,TRUE
448,TRUE
454,TRUE
459,FALSE
471,TRUE
476,FALSE
482,FALSE
498,FALSE
525,FALSE
529,TRUE
534,TRUE
535,FALSE
547,TRUE
553,TRUE
557,TRUE
559,FALSE
568,FALSE
572,FALSE
579,TRUE
583,TRUE
584,TRUE
590,TRUE
595,TRUE
596,FALSE
600,FALSE
601,TRUE
603,TRUE
605,TRUE
614,TRUE
618,TRUE
619,FALSE
632,TRUE
633,TRUE
642,FALSE
644,TRUE
647,FALSE
649,TRUE
653,FALSE
673,TRUE
678,FALSE
687,TRUE
688,TRUE
690,TRUE
694,TRUE
695,FALSE
696,TRUE
699,TRUE
700,FALSE
705,FALSE
711,FALSE
796,FALSE
798,TRUE
799,FALSE
800,TRUE
807,FALSE
808,TRUE
810,TRUE
820,TRUE
822,TRUE
832,TRUE
835,FALSE
836,TRUE
837,FALSE
838,FALSE
842,TRUE
843,TRUE
844,TRUE
845,TRUE
850,FALSE
857,TRUE
859,FALSE
860,TRUE
865,TRUE
871,FALSE
880,TRUE
882,FALSE
889,TRUE
890,TRUE
900,TRUE
912,TRUE
913,TRUE
915,FALSE
923,TRUE
927,TRUE
928,TRUE
932,TRUE
940,TRUE
948,FALSE
955,TRUE
965,TRUE
977,FALSE
